id,name,hometown,year_birth,pre_position_2,education
1,Trong,Bac Ninh,1944,national assembly,Russia
2,Quang,Ninh Binh,1956,ministry of public security,Hanoi
3,Ngan,Ben Tre,1954,ministry of labor,Hanoi
4,Lich,Ha Nam,1954,ministry of defense,Hanoi
5,Lam,Hung Yen,1957,ministry of public security,Hanoi
6,Phuc,Quang Nam,1954,vice prime minister,Hanoi
7,Nhan,Ca Mau,1953,ministry of education,Germany
8,Huynh,Nam Dinh,1953,people newspaper,Russia
9,Chinh,Thanh Hoa,1958,ministry of public security,Hanoi
10,Phong,Son La,1954,national assembly,Hanoi
11,Hue,Nghe An,1957,kiem toan nha nuoc,Hanoi
12,Vuong,Thai Binh,1953,procuracy,Hanoi
13,Minh,Nam Dinh,1959,ministry of foreign affairs,USA
14,Mai,Quang Binh,1958,league of youth,Hanoi
15,Hoa-Binh,Long An,1955,procuracy,Hanoi
16,Van-Binh,Phu Tho,1961,central bank,Russia
17,Thuong,Vinh Long,1970,league of youth,Hochiminh
18,Thang,Nam Dinh,1960,ministry of transportation,Hanoi
19,Hai,Thai Binh,1959,party cell of hanoi,Hanoi
